Date,DJI_close,DJI_pct,ins_conf,ind_conf,ins_val,ind_val,ins_crash,ind_crash
2015-05-01,18024.060546875,0.010287873921132284,73.42,75.14,59.79,49.21,34.67,35.61
2015-06-01,18040.369140625,0.0016484360190807124,72.79,75.44,57.14,49.73,34.04,36.63
2015-07-01,17757.91015625,0.007854951270835908,72.0,77.47,56.54,49.02,36.2,34.7
2015-09-01,16058.349609375,-0.028417162086517123,72.3,76.05,58.52,47.96,35.52,30.62
2015-10-01,16272.009765625,-0.0007792854357339118,73.65,74.23,59.66,48.15,35.87,29.06
2015-12-01,17888.349609375,0.009505104325673308,73.21,70.69,64.39,48.92,40.0,27.03
2016-02-01,16449.1796875,-0.0010397656387702847,74.82,67.86,64.42,48.43,34.52,28.57
2016-03-01,16865.080078125,0.02110496038052867,76.47,69.12,64.33,50.65,35.58,30.0
2016-04-01,17792.75,0.006087622805492687,74.32,69.75,61.49,50.0,36.11,32.04
2016-06-01,17789.669921875,0.00013890343806322036,75.0,68.22,56.22,50.41,33.49,31.88
2016-07-01,17949.369140625,0.0010808096377457055,76.42,69.4,56.46,51.66,33.55,33.61
2016-08-01,18404.509765625,-0.0015044546076544707,74.55,67.3,51.11,50.27,32.86,34.6
2016-09-01,18419.30078125,0.0010010347882674075,69.16,66.45,47.33,49.44,30.37,32.68
2016-11-01,18037.099609375,-0.005805196492724263,70.71,65.49,50.0,45.12,25.41,29.57
2016-12-01,19191.9296875,0.0035741011408834122,68.13,64.71,45.45,41.84,26.61,27.5
2017-02-01,19890.939453125,0.0013516657237355734,75.33,64.43,49.15,41.99,32.78,26.73
2017-03-01,21115.55078125,0.014573661626970491,76.97,61.54,48.62,38.46,32.24,29.68
2017-05-01,20913.4609375,-0.0012916986466777747,76.16,61.31,48.22,37.56,34.8,35.07
2017-06-01,21144.1796875,0.006451118675166345,77.37,62.5,48.39,37.77,37.39,33.33
2017-08-01,21963.919921875,0.0033255851737108433,72.85,59.75,45.66,36.52,36.36,34.95
2017-09-01,21987.560546875,0.0017979204670250937,74.17,63.76,49.4,41.62,37.43,33.15
2017-11-01,23435.009765625,0.0024711869609421733,69.92,60.61,48.57,39.86,37.41,29.94
2017-12-01,24231.58984375,-0.0016792674084282755,65.14,61.27,52.42,41.77,33.87,28.31
2018-02-01,26186.7109375,0.0014271962599510246,65.52,66.0,51.94,40.24,31.54,27.01
2018-03-01,24608.98046875,-0.016789140808196712,62.81,63.19,49.64,36.07,28.78,27.03
2018-05-01,24099.05078125,-0.0026527836121845727,68.42,66.67,55.43,42.67,34.64,25.55
2018-06-01,24635.2109375,0.008984785907586001,72.67,68.09,55.62,43.46,36.11,28.31
2018-08-01,25333.8203125,-0.0032015948877766043,72.73,69.18,61.4,51.1,39.08,29.69
2018-10-01,26651.2109375,0.007290729704122478,79.25,71.03,61.24,59.32,42.75,33.08
2018-11-01,25380.740234375,0.010550366432182212,77.0,66.96,60.83,55.2,40.5,32.37
2019-02-01,25063.890625,0.00256886204200657,75.0,65.27,63.83,46.63,35.92,25.87
2019-03-01,26026.3203125,0.004256841815866608,74.63,67.34,66.88,48.08,34.81,27.12
2019-04-01,26258.419921875,0.012717201120501453,75.61,68.37,71.33,50.0,35.86,28.76
